naics_code,description,naics_label,Mistral7Bv01_tokenized_name,Mistral7Bv01_tokenized_description
4232,Furniture Merchant Wholesalers | Home Furnishing Merchant WholesalersFurniture Merchant Wholesalers | Home Furnishing Merchant Wholesalers,Furniture and Home Furnishing Merchant Wholesalers,1|401|453|8861|304|6434|401|453|5596|5625|11746|943|4721|282|404,1|401|453|8861|5625|11746|943|4721|282|404|259|6434|401|453|5596|5625|11746|943|4721|282|404|28765|453|8861|5625|11746|943|4721|282|404|259|6434|401|453|5596|5625|11746|943|4721|282|404
4233,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers | Brick, Stone, and Related Construction Material Merchant Wholesalers | Roofing, Siding, and Insulation Material Merchant Wholesalers | Other Construction Material Merchant WholesalersLumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers | Brick, Stone, and Related Construction Material Merchant Wholesalers | Roofing, Siding, and Insulation Material Merchant Wholesalers | Other Construction Material Merchant Wholesalers",Lumber and Other Construction Materials Merchant Wholesalers,1|393|1031|304|5299|22061|15210|28713|5625|11746|943|4721|282|404,1|393|1031|28725|367|346|4871|28725|6274|1328|28725|304|8010|27968|5625|11746|943|4721|282|404|259|1896|681|28725|11775|28725|304|23432|22061|15210|5625|11746|943|4721|282|404|259|5243|1009|288|28725|318|3269|28725|304|9513|2677|15210|5625|11746|943|4721|282|404|259|5299|22061|15210|5625|11746|943|4721|282|404|28758|1031|28725|367|346|4871|28725|6274|1328|28725|304|8010|27968|5625|11746|943|4721|282|404|259|1896|681|28725|11775|28725|304|23432|22061|15210|5625|11746|943|4721|282|404|259|5243|1009|288|28725|318|3269|28725|304|9513|2677|15210|5625|11746|943|4721|282|404|259|5299|22061|15210|5625|11746|943|4721|282|404
4234,"Photographic Equipment and Supplies Merchant Wholesalers | Office Equipment Merchant Wholesalers | Computer and Computer Peripheral Equipment and Software Merchant Wholesalers | Other Commercial Equipment Merchant Wholesalers | Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers | Ophthalmic Goods Merchant Wholesalers | Other Professional Equipment and Supplies Merchant WholesalersPhotographic Equipment and Supplies Merchant Wholesalers | Office Equipment Merchant Wholesalers | Computer and Computer Peripheral Equipment and Software Merchant Wholesalers | Other Commercial Equipment Merchant Wholesalers | Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers | Ophthalmic Goods Merchant Wholesalers | Other Professional Equipment and Supplies Merchant Wholesalers",Professional and Commercial Equipment and Supplies Merchant Wholesalers,1|16081|304|24551|26025|304|8931|7631|5625|11746|943|4721|282|404,1|12719|12293|26025|304|8931|7631|5625|11746|943|4721|282|404|259|8650|26025|5625|11746|943|4721|282|404|259|20466|304|20466|2744|10447|282|26025|304|6583|5625|11746|943|4721|282|404|259|5299|24551|26025|5625|11746|943|4721|282|404|259|12195|28725|384|7540|28725|304|12754|26025|304|8931|7631|5625|11746|943|4721|282|404|259|451|721|21361|12456|5801|28713|5625|11746|943|4721|282|404|259|5299|16081|26025|304|8931|7631|5625|11746|943|4721|282|404|3330|322|12293|26025|304|8931|7631|5625|11746|943|4721|282|404|259|8650|26025|5625|11746|943|4721|282|404|259|20466|304|20466|2744|10447|282|26025|304|6583|5625|11746|943|4721|282|404|259|5299|24551|26025|5625|11746|943|4721|282|404|259|12195|28725|384|7540|28725|304|12754|26025|304|8931|7631|5625|11746|943|4721|282|404|259|451|721|21361|12456|5801|28713|5625|11746|943|4721|282|404|259|5299|16081|26025|304|8931|7631|5625|11746|943|4721|282|404
4235,Metal Service Centers and Other Metal Merchant Wholesalers | Coal and Other Mineral and Ore Merchant WholesalersMetal Service Centers and Other Metal Merchant Wholesalers | Coal and Other Mineral and Ore Merchant Wholesalers,Metal and Mineral (except Petroleum) Merchant Wholesalers,1|24144|304|3197|9785|325|19603|6728|9606|383|28731|5625|11746|943|4721|282|404,1|24144|5836|2906|404|304|5299|24144|5625|11746|943|4721|282|404|259|25243|304|5299|3197|9785|304|451|267|5625|11746|943|4721|282|404|4680|282|5836|2906|404|304|5299|24144|5625|11746|943|4721|282|404|259|25243|304|5299|3197|9785|304|451|267|5625|11746|943|4721|282|404
4236,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers | Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers | Other Electronic Parts and Equipment Merchant WholesalersElectrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers | Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers | Other Electronic Parts and Equipment Merchant Wholesalers",Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,1|4594|5750|4002|452|20904|304|10394|11524|304|10394|7624|5801|28713|5625|11746|943|4721|282|404,1|10394|11524|3122|283|1589|304|26025|28725|394|5549|8931|7631|28725|304|23432|26025|5625|11746|943|4721|282|404|259|4594|5750|4002|452|20904|28725|20459|4594|28727|4585|28725|304|5504|3972|10394|1689|1063|5625|11746|943|4721|282|404|259|5299|10394|7624|2914|28713|304|26025|5625|11746|943|4721|282|404|28749|844|11524|3122|283|1589|304|26025|28725|394|5549|8931|7631|28725|304|23432|26025|5625|11746|943|4721|282|404|259|4594|5750|4002|452|20904|28725|20459|4594|28727|4585|28725|304|5504|3972|10394|1689|1063|5625|11746|943|4721|282|404|259|5299|10394|7624|2914|28713|304|26025|5625|11746|943|4721|282|404
4237,Hardware Merchant Wholesalers | Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers | Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers | Refrigeration Equipment and Supplies Merchant WholesalersHardware Merchant Wholesalers | Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers | Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers | Refrigeration Equipment and Supplies Merchant Wholesalers,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",1|9708|1706|28725|304|1641|27010|304|650|1077|26025|304|8931|7631|5625|11746|943|4721|282|404,1|9708|1706|5625|11746|943|4721|282|404|259|1641|27010|304|650|1077|26025|304|8931|7631|325|28769|3389|1689|1063|28731|5625|11746|943|4721|282|404|259|394|1785|5085|650|1077|304|5085|28733|12862|288|26025|304|8931|7631|5625|11746|943|4721|282|404|259|6360|28712|4886|352|26025|304|8931|7631|5625|11746|943|4721|282|404|23226|1706|5625|11746|943|4721|282|404|259|1641|27010|304|650|1077|26025|304|8931|7631|325|28769|3389|1689|1063|28731|5625|11746|943|4721|282|404|259|394|1785|5085|650|1077|304|5085|28733|12862|288|26025|304|8931|7631|5625|11746|943|4721|282|404|259|6360|28712|4886|352|26025|304|8931|7631|5625|11746|943|4721|282|404
4238,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers | Farm and Garden Machinery and Equipment Merchant Wholesalers | Industrial Machinery and Equipment Merchant Wholesalers | Industrial Supplies Merchant Wholesalers | Service Establishment Equipment and Supplies Merchant Wholesalers | Transportation Equipment and Supplies (except Motor Vehicle) Merchant WholesalersConstruction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers | Farm and Garden Machinery and Equipment Merchant Wholesalers | Industrial Machinery and Equipment Merchant Wholesalers | Industrial Supplies Merchant Wholesalers | Service Establishment Equipment and Supplies Merchant Wholesalers | Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,"Machinery, Equipment, and Supplies Merchant Wholesalers",1|16290|17171|28725|26025|28725|304|8931|7631|5625|11746|943|4721|282|404,1|22061|304|3197|288|325|19603|16181|4673|28731|16290|17171|304|26025|5625|11746|943|4721|282|404|259|15420|304|15875|16290|17171|304|26025|5625|11746|943|4721|282|404|259|22302|16290|17171|304|26025|5625|11746|943|4721|282|404|259|22302|8931|7631|5625|11746|943|4721|282|404|259|5836|3978|27753|466|26025|304|8931|7631|5625|11746|943|4721|282|404|259|15096|352|26025|304|8931|7631|325|19603|17933|550|21282|28731|5625|11746|943|4721|282|404|8151|3112|304|3197|288|325|19603|16181|4673|28731|16290|17171|304|26025|5625|11746|943|4721|282|404|259|15420|304|15875|16290|17171|304|26025|5625|11746|943|4721|282|404|259|22302|16290|17171|304|26025|5625|11746|943|4721|282|404|259|22302|8931|7631|5625|11746|943|4721|282|404|259|5836|3978|27753|466|26025|304|8931|7631|5625|11746|943|4721|282|404|259|15096|352|26025|304|8931|7631|325|19603|17933|550|21282|28731|5625|11746|943|4721|282|404
4239,"Sporting and Recreational Goods and Supplies Merchant Wholesalers | Toy and Hobby Goods and Supplies Merchant Wholesalers | Recyclable Material Merchant Wholesalers | Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers | Other Miscellaneous Durable Goods Merchant WholesalersSporting and Recreational Goods and Supplies Merchant Wholesalers | Toy and Hobby Goods and Supplies Merchant Wholesalers | Recyclable Material Merchant Wholesalers | Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers | Other Miscellaneous Durable Goods Merchant Wholesalers",Miscellaneous Durable Goods Merchant Wholesalers,1|21297|4860|18834|8420|522|5801|28713|5625|11746|943|4721|282|404,1|11093|288|304|3523|267|1249|5801|28713|304|8931|7631|5625|11746|943|4721|282|404|259|20944|304|382|11551|5801|28713|304|8931|7631|5625|11746|943|4721|282|404|259|3523|9591|522|15210|5625|11746|943|4721|282|404|259|5808|301|643|28725|11933|28725|28386|925|11775|28725|304|28386|925|24144|5625|11746|943|4721|282|404|259|5299|21297|4860|18834|8420|522|5801|28713|5625|11746|943|4721|282|404|28735|483|288|304|3523|267|1249|5801|28713|304|8931|7631|5625|11746|943|4721|282|404|259|20944|304|382|11551|5801|28713|304|8931|7631|5625|11746|943|4721|282|404|259|3523|9591|522|15210|5625|11746|943|4721|282|404|259|5808|301|643|28725|11933|28725|28386|925|11775|28725|304|28386|925|24144|5625|11746|943|4721|282|404|259|5299|21297|4860|18834|8420|522|5801|28713|5625|11746|943|4721|282|404
4241,Printing and Writing Paper Merchant Wholesalers | Stationery and Office Supplies Merchant Wholesalers | Industrial and Personal Service Paper Merchant WholesalersPrinting and Writing Paper Merchant Wholesalers | Stationery and Office Supplies Merchant Wholesalers | Industrial and Personal Service Paper Merchant Wholesalers,Paper and Paper Product Merchant Wholesalers,1|20038|304|20038|9068|5625|11746|943|4721|282|404,1|13281|288|304|19920|20038|5625|11746|943|4721|282|404|259|13354|1193|304|8650|8931|7631|5625|11746|943|4721|282|404|259|22302|304|12860|5836|20038|5625|11746|943|4721|282|404|8781|288|304|19920|20038|5625|11746|943|4721|282|404|259|13354|1193|304|8650|8931|7631|5625|11746|943|4721|282|404|259|22302|304|12860|5836|20038|5625|11746|943|4721|282|404
4242,Drugs and Druggists' Sundries Merchant WholesalersDrugs and Druggists' Sundries Merchant Wholesalers,Drugs and Druggists' Sundries Merchant Wholesalers,1|17799|2626|304|17799|1576|1583|28742|6721|2040|5625|11746|943|4721|282|404,1|17799|2626|304|17799|1576|1583|28742|6721|2040|5625|11746|943|4721|282|404|28757|551|2626|304|17799|1576|1583|28742|6721|2040|5625|11746|943|4721|282|404
4243,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers | Footwear Merchant Wholesalers | Clothing and Clothing Accessories Merchant WholesalersPiece Goods, Notions, and Other Dry Goods Merchant Wholesalers | Footwear Merchant Wholesalers | Clothing and Clothing Accessories Merchant Wholesalers","Apparel, Piece Goods, and Notions Merchant Wholesalers",1|3122|24104|28725|367|21422|5801|28713|28725|304|2280|594|5625|11746|943|4721|282|404,1|367|21422|5801|28713|28725|2280|594|28725|304|5299|27064|5801|28713|5625|11746|943|4721|282|404|259|10372|20233|5625|11746|943|4721|282|404|259|1366|5182|304|1366|5182|11559|2420|5625|11746|943|4721|282|404|28753|21422|5801|28713|28725|2280|594|28725|304|5299|27064|5801|28713|5625|11746|943|4721|282|404|259|10372|20233|5625|11746|943|4721|282|404|259|1366|5182|304|1366|5182|11559|2420|5625|11746|943|4721|282|404
4244,General Line Grocery Merchant Wholesalers | Packaged Frozen Food Merchant Wholesalers | Dairy Product (except Dried or Canned) Merchant Wholesalers | Poultry and Poultry Product Merchant Wholesalers | Confectionery Merchant Wholesalers | Fish and Seafood Merchant Wholesalers | Meat and Meat Product Merchant Wholesalers | Fresh Fruit and Vegetable Merchant Wholesalers | Other Grocery and Related Products Merchant WholesalersGeneral Line Grocery Merchant Wholesalers | Packaged Frozen Food Merchant Wholesalers | Dairy Product (except Dried or Canned) Merchant Wholesalers | Poultry and Poultry Product Merchant Wholesalers | Confectionery Merchant Wholesalers | Fish and Seafood Merchant Wholesalers | Meat and Meat Product Merchant Wholesalers | Fresh Fruit and Vegetable Merchant Wholesalers | Other Grocery and Related Products Merchant Wholesalers,Grocery and Related Product Merchant Wholesalers,1|8697|20322|304|23432|9068|5625|11746|943|4721|282|404,1|3592|9127|8697|20322|5625|11746|943|4721|282|404|259|11676|2569|18760|3039|11435|5625|11746|943|4721|282|404|259|384|23421|9068|325|19603|384|1638|442|334|5928|28731|5625|11746|943|4721|282|404|259|367|3619|1553|304|367|3619|1553|9068|5625|11746|943|4721|282|404|259|1325|11264|1193|5625|11746|943|4721|282|404|259|22784|304|11759|18972|5625|11746|943|4721|282|404|259|2597|270|304|2597|270|9068|5625|11746|943|4721|282|404|259|27376|401|6424|304|13343|527|522|5625|11746|943|4721|282|404|259|5299|8697|20322|304|23432|21061|5625|11746|943|4721|282|404|15348|9127|8697|20322|5625|11746|943|4721|282|404|259|11676|2569|18760|3039|11435|5625|11746|943|4721|282|404|259|384|23421|9068|325|19603|384|1638|442|334|5928|28731|5625|11746|943|4721|282|404|259|367|3619|1553|304|367|3619|1553|9068|5625|11746|943|4721|282|404|259|1325|11264|1193|5625|11746|943|4721|282|404|259|22784|304|11759|18972|5625|11746|943|4721|282|404|259|2597|270|304|2597|270|9068|5625|11746|943|4721|282|404|259|27376|401|6424|304|13343|527|522|5625|11746|943|4721|282|404|259|5299|8697|20322|304|23432|21061|5625|11746|943|4721|282|404
4245,Grain and Field Bean Merchant Wholesalers | Livestock Merchant Wholesalers | Other Farm Product Raw Material Merchant WholesalersGrain and Field Bean Merchant Wholesalers | Livestock Merchant Wholesalers | Other Farm Product Raw Material Merchant Wholesalers,Farm Product Raw Material Merchant Wholesalers,1|15420|9068|20165|15210|5625|11746|943|4721|282|404,1|1778|426|304|8246|1739|276|5625|11746|943|4721|282|404|259|23121|374|629|5625|11746|943|4721|282|404|259|5299|15420|9068|20165|15210|5625|11746|943|4721|282|404|7406|426|304|8246|1739|276|5625|11746|943|4721|282|404|259|23121|374|629|5625|11746|943|4721|282|404|259|5299|15420|9068|20165|15210|5625|11746|943|4721|282|404
